Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/practice/H81116/measures/?tags=lowpriority,20190129,15,2,00:02:43,0,0.00%,0.00%,$0.00
/practice/M81608/measures/?tags=lowpriority,20181108,15,1,00:00:18,0,0.00%,0.00%,$0.00
/practice/N85013/measures/?tags=lowpriority,20181011,15,3,00:01:17,0,0.00%,13.33%,$3.33
/practice/L81089/measures/?tags=lowpriority,20190115,12,2,00:04:50,0,0.00%,8.33%,$5.00
/practice/P81067/measures/?tags=lowpriority,20181024,9,2,00:00:49,0,0.00%,0.00%,$10.00
/practice/B82033/measures/?tags=lowpriority,20190129,8,1,00:00:24,0,0.00%,0.00%,$0.00
/practice/L83608/measures/?tags=lowpriority,20190122,7,1,00:00:26,0,0.00%,0.00%,$10.00
/practice/M81017/measures/?tags=lowpriority,20181106,7,2,00:00:49,0,0.00%,0.00%,$5.00
/practice/M82046/measures/?tags=lowpriority,20181204,6,2,00:01:46,1,0.00%,16.67%,$5.00
/practice/P91014/measures/?tags=lowpriority,20190123,6,2,00:00:53,0,0.00%,33.33%,$5.00
/practice/A83020/measures/?tags=lowpriority,20181129,5,5,00:00:39,2,50.00%,40.00%,$2.00
/practice/A86024/measures/?tags=lowpriority,20181128,5,4,00:02:29,3,66.67%,80.00%,$2.50
/practice/C83040/measures/?tags=lowpriority,20181003,5,2,00:04:05,0,0.00%,0.00%,$0.00
/practice/J83019/measures/?tags=lowpriority,20181011,5,1,00:13:33,0,0.00%,0.00%,$10.00
/practice/L81061/measures/?tags=lowpriority,20190110,5,1,00:02:17,0,0.00%,0.00%,$10.00
/practice/L83029/measures/?tags=lowpriority,20180905,5,3,00:07:47,2,50.00%,60.00%,$3.33
/practice/L84072/measures/?tags=lowpriority,20181218,5,1,00:01:24,0,0.00%,20.00%,$0.00
/practice/P82613/measures/?tags=lowpriority,20181008,5,1,00:00:27,0,0.00%,0.00%,$10.00
/practice/A81044/measures/?tags=lowpriority,20190122,4,2,00:00:38,0,0.00%,25.00%,$5.00
/practice/A82010/measures/?tags=lowpriority,20181220,4,1,00:00:35,0,0.00%,0.00%,$20.00
/practice/B84012/measures/?tags=lowpriority,20181114,4,2,00:00:50,0,0.00%,0.00%,$5.00
/practice/B86033/measures/?tags=lowpriority,20180913,4,1,00:00:15,0,0.00%,0.00%,$0.00
/practice/B86093/measures/?tags=lowpriority,20181010,4,4,00:07:43,3,66.67%,50.00%,$0.00
/practice/B87032/measures/?tags=lowpriority,20181114,4,2,00:02:56,0,0.00%,0.00%,$5.00
/practice/C83023/measures/?tags=lowpriority,20181125,4,1,00:02:45,0,0.00%,25.00%,$0.00
/practice/D82019/measures/?tags=lowpriority,20181202,4,1,00:00:14,0,0.00%,0.00%,$15.00
/practice/E81033/measures/?tags=lowpriority,20181023,4,2,00:00:53,0,0.00%,0.00%,$10.00
/practice/F81741/measures/?tags=lowpriorityconsultation,20181205,4,1,00:01:33,0,0.00%,25.00%,$0.00
/practice/G82095/measures/?tags=lowpriority,20190112,4,1,00:01:16,0,0.00%,0.00%,$10.00
/practice/G85696/measures/?tags=lowpriority,20190119,4,1,00:00:39,0,0.00%,0.00%,$0.00
/practice/H82056/measures/?tags=lowpriority,20181024,4,2,00:00:34,0,0.00%,0.00%,$0.00
/practice/J82042/measures/?tags=lowpriority,20181107,4,2,00:02:33,0,0.00%,25.00%,$0.00
/practice/J82150/measures/?tags=lowpriority,20190129,4,2,00:00:37,0,0.00%,25.00%,$5.00
/practice/J83019/measures/?tags=lowpriorityconsultation,20181217,4,1,00:00:54,0,0.00%,25.00%,$0.00
/practice/K82022/measures/?tags=lowpriority,20181107,4,3,00:02:00,1,100.00%,50.00%,$0.00
/practice/K82038/measures/?tags=lowpriority,20181213,4,3,00:00:25,0,0.00%,0.00%,$6.67
/practice/K83023/measures/?tags=lowpriority,20181011,4,1,00:03:07,0,0.00%,25.00%,$10.00
/practice/L81038/measures/?tags=lowpriority,20190126,4,2,00:01:20,1,0.00%,0.00%,$5.00
/practice/L83608/measures/?tags=lowpriority,20181006,4,1,00:01:05,0,0.00%,0.00%,$0.00
/practice/M83056/measures/?tags=lowpriority,20190103,4,1,00:01:07,0,0.00%,0.00%,$10.00
/practice/M83096/measures/?tags=lowpriority,20190128,4,2,00:01:54,0,0.00%,0.00%,$5.00
/practice/M86040/measures/?tags=lowpriority,20181030,4,2,00:17:02,1,100.00%,50.00%,$5.00
/practice/M87001/measures/?tags=lowpriority,20181024,4,3,00:12:30,0,0.00%,50.00%,$6.67
/practice/N81123/measures/?tags=lowpriority,20190122,4,3,00:01:12,0,0.00%,0.00%,$3.33
/practice/P87660/measures/?tags=lowpriority,20181013,4,1,00:00:39,0,0.00%,0.00%,$10.00
/practice/P91013/measures/?tags=lowpriority,20190128,4,1,00:00:15,0,0.00%,25.00%,$10.00
/practice/Y00347/measures/?tags=lowpriority,20181029,4,1,00:00:33,0,0.00%,0.00%,$0.00
/practice/A89006/measures/?tags=lowpriority,20190117,3,1,00:01:23,0,0.00%,0.00%,$0.00
/practice/B82005/measures/?tags=lowpriority,20190131,3,2,00:01:13,1,0.00%,33.33%,$0.00
/practice/B82033/measures/?tags=lowpriority,20181205,3,3,00:08:25,1,100.00%,33.33%,$0.00
/practice/B82033/measures/?tags=lowpriority,20181206,3,3,00:04:40,2,50.00%,66.67%,$0.00
/practice/B83063/measures/?tags=lowpriority,20181128,3,1,00:00:38,0,0.00%,0.00%,$10.00
/practice/B84623/measures/?tags=lowpriority,20180928,3,1,00:00:32,0,0.00%,0.00%,$10.00
/practice/B85622/measures/?tags=lowpriority,20181030,3,1,00:02:12,0,0.00%,33.33%,$10.00
/practice/B86033/measures/?tags=lowpriority,20181128,3,2,00:00:22,0,0.00%,33.33%,$5.00
/practice/B86673/measures/?tags=lowpriority,20180914,3,1,00:01:19,0,0.00%,0.00%,$10.00
/practice/B86673/measures/?tags=lowpriority,20181009,3,1,00:00:22,0,0.00%,33.33%,$0.00
/practice/B87011/measures/?tags=lowpriority,20181114,3,2,00:05:01,0,0.00%,0.00%,$7.50
/practice/B87021/measures/?tags=lowpriority,20181114,3,3,00:05:48,0,0.00%,0.00%,$3.33
/practice/B87042/measures/?tags=lowpriority,20181114,3,3,00:03:56,0,0.00%,0.00%,$6.67
/practice/C82667/measures/?tags=lowpriority,20180915,3,1,00:01:35,0,0.00%,33.33%,$10.00
/practice/C84001/measures/?tags=lowpriority,20181008,3,3,00:11:53,1,0.00%,66.67%,$0.00
/practice/C84094/measures/?tags=lowpriority,20180903,3,1,00:00:19,0,0.00%,0.00%,$0.00
