,joint_id,numerator,denominator,baseline,baseline_ranking,rand_num,allocation_ranking,allocation_code,allocation,name,joint_team,CCGs_included
0,01X,347631.36917,1185.007,293.35807228986835,1.0,0.8859479412560747,34.0,0.0,con,,,
1,99K,289294.82914,1022.3879999999999,282.95992239736773,0.9947089947089947,0.07791235871612434,2.0,0.0,con,,,
2,01J,264583.05224999995,989.946,267.27018670715364,0.9894179894179894,0.9796461573123091,40.0,0.0,con,,,
3,09W,475802.54155,1795.837,264.9475100190051,0.9841269841269841,0.24767145804462154,10.0,0.0,con,,,
4,01V,441433.56403,1680.0720000000003,262.7468132496702,0.9788359788359788,0.7528847175751155,27.0,1.0,I,NHS SOUTHPORT AND FORMBY CCG,South Sefton & Southport and Formby CCG MMT,2.0
5,01F,204807.24274,787.334,260.1275224237744,0.9735449735449735,0.5266756362845376,26.0,0.0,con,,,
6,99J,752549.25554,2953.688,254.78292072148446,0.9682539682539683,0.9075537532398402,36.0,0.0,con,,,
7,99A,803559.48806,3196.1210000000005,251.41710469034177,0.9629629629629629,0.8840702971277409,33.0,1.0,I,NHS LIVERPOOL CCG,,
8,05G,326127.37474999996,1308.84,249.17283606093943,0.9576719576719577,0.08926895980393956,3.0,1.0,I,NHS NORTH STAFFORDSHIRE CCG,,
9,11A,816787.8949600002,3376.3950000000004,241.91123815785772,0.9523809523809523,0.5173445964998838,25.0,1.0,I,NHS WEST HAMPSHIRE CCG,,
10,07Q,495196.1959299999,2094.0660000000003,236.47592574923613,0.9470899470899471,0.343621292097688,16.0,0.0,con,,,
11,11N,801430.3336700001,3448.154,232.4230105934944,0.9417989417989417,0.2122936942970124,8.0,0.0,con,,,
12,99E,386173.77736999997,1672.598,230.88260142006627,0.9312169312169312,0.36067344183901606,18.0,0.0,con,,,
13,10L,198823.37373000002,866.763,229.38608792714965,0.9259259259259259,0.2707751731605573,12.0,0.0,con,,,
14,02G,155580.62161,682.2209999999999,228.05017964853036,0.9206349206349206,0.7616250179232207,28.0,0.0,con,,,
15,09P,520540.79623999994,2307.866,225.5507019211687,0.9153439153439153,0.4780418992636688,22.0,0.0,con,,,
16,10V,279353.97164,1290.8680000000002,216.40785242178129,0.91005291005291,0.09899467679011287,4.0,0.0,con,,,
17,06D,552797.5085799999,2565.673,215.45906613196613,0.9047619047619048,0.2753947781493924,13.0,1.0,I,NHS WYRE FOREST CCG,Worcestershire MMT,2.0
18,03T,318988.03825,1501.2350000000001,212.4837472147931,0.8994708994708994,0.7944273091045265,29.0,1.0,I,NHS LINCOLNSHIRE EAST CCG,Optum CSU,1.0
19,07K,312378.30194999994,1503.57,207.75773788383643,0.8941798941798942,0.5139703144269241,24.0,0.0,con,,,
20,06T,436873.83069,2110.908,206.96014733470147,0.8888888888888888,0.45329480890139495,21.0,1.0,I,NHS NORTH EAST ESSEX CCG,,
21,08F,344789.4943,1666.5270000000003,206.89103404865327,0.8835978835978836,0.25515124938194855,11.0,1.0,I,NHS HAVERING CCG,One North East London (ONEL) MMT,1.0
22,05V,181530.46983000002,894.4410000000001,202.95410186921217,0.8783068783068783,0.11397660173124069,5.0,1.0,I,NHS STAFFORD AND SURROUNDS CCG,Staffs three MMT,1.0
23,03E,196826.64249,977.4380000000001,201.36995133195146,0.8677248677248677,0.824313050863052,31.0,1.0,I,NHS HARROGATE AND RURAL DISTRICT CCG,Harrogate Shared Services MMT,1.0
24,12F,713584.01801,3573.64,199.67988325908598,0.8624338624338624,0.31775349856244806,14.0,0.0,con,,,
25,09A,270488.4431,1375.6299999999999,196.62877597900598,0.8571428571428571,0.1523070311113981,7.0,1.0,I,NHS CENTRAL LONDON (WESTMINSTER) CCG,,
26,09G,596663.0562100001,3088.169,193.20932766632916,0.8518518518518519,0.2149795870638448,9.0,1.0,I,NHS COASTAL WEST SUSSEX CCG,,
